Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Penalty Reward After
0xd54f7AB07175d9eFFC4b72581517800B47ee7094,1 RBN,54885600,0.75,0.38 RBN,0.00 RBN,0.00 RBN
0xCeC909e109aF27C4220d8c0400Ec990126187Dce,25967 RBN,31903200,0.51,6567.57 RBN,12832.00 RBN,12832.00 RBN
0x741701DAcF966fFffF2D5B6D3e5Ed8ea8D216FdB,20110 RBN,1663200,0.03,265.15 RBN,19579.00 RBN,19579.00 RBN
0x0001f85d5eeCC0a176e6197690BaA3E62bde35c5,166 RBN,31298400,0.50,41.29 RBN,83.00 RBN,83.00 RBN
0x4F2769e87C7d96ED9CA72084845eE05e7dE5DdA2,3023 RBN,49442400,0.75,1133.79 RBN,755.00 RBN,755.00 RBN
0x66F38834895920589f66a8EaBc2b6A543B0EcA24,16352 RBN,15573600,0.25,2018.92 RBN,12315.00 RBN,12315.00 RBN
0x8Af9642D07302Ef83ED392C3734E63E9dEDcA635,8888 RBN,46418400,0.74,3270.60 RBN,2346.00 RBN,2346.00 RBN
0xE5691DFc88e01c16F46560E1a5e6A5ebF0678BF9,48830 RBN,47023200,0.75,18202.56 RBN,12424.00 RBN,12424.00 RBN
0x0c4bfB585C72eC0EF88F3fC7fF9C0D05438ef9e7,5093 RBN,33717600,0.53,1361.51 RBN,2370.00 RBN,2370.00 RBN
0xdABb14eDD4555d0b4bAEf125ee59150C2f50C426,393 RBN,31298400,0.50,97.62 RBN,198.00 RBN,198.00 RBN
0x298aFe764cEaDE43bA80aC4390195E8D9451D6ef,68318 RBN,54280800,0.75,25619.55 RBN,17079.00 RBN,17079.00 RBN
0x16c19dcc764767909059B29cCCd0448F4C8819df,17015 RBN,31298400,0.50,4221.83 RBN,8571.00 RBN,8571.00 RBN
0x84f918BA377cbd0385B4Ef28F6b2b6d7E9B54a4B,10000 RBN,1058400,0.02,83.90 RBN,9832.00 RBN,9832.00 RBN
0x2e9BDeCe5db845063b4D7a666b6d9a4099093c32,4110 RBN,31298400,0.50,1019.81 RBN,2070.00 RBN,2070.00 RBN
0x78C5Dc062a541dAE7AeC891575B8e66321EeC848,3727 RBN,31298400,0.50,924.86 RBN,1877.00 RBN,1877.00 RBN
