Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Unlock Reward After
0xd54f7AB07175d9eFFC4b72581517800B47ee7094,1.000000 RBN,54885600,0.750000,0.375000 RBN,0.250000 RBN,0.625000 RBN
0xCeC909e109aF27C4220d8c0400Ec990126187Dce,25967.907247 RBN,31903200,0.505822,6567.568323 RBN,12832.770602 RBN,19400.338924 RBN
0x741701DAcF966fFffF2D5B6D3e5Ed8ea8D216FdB,20110.000000 RBN,1663200,0.026370,265.148973 RBN,19579.702055 RBN,19844.851027 RBN
0x0001f85d5eeCC0a176e6197690BaA3E62bde35c5,166.411680 RBN,31298400,0.496233,41.289473 RBN,83.832733 RBN,125.122206 RBN
0x4F2769e87C7d96ED9CA72084845eE05e7dE5DdA2,3023.438878 RBN,49442400,0.750000,1133.789579 RBN,755.859719 RBN,1889.649299 RBN
0x66F38834895920589f66a8EaBc2b6A543B0EcA24,16352.934069 RBN,15573600,0.246918,2018.915319 RBN,12315.103431 RBN,14334.018750 RBN
0x8Af9642D07302Ef83ED392C3734E63E9dEDcA635,8888.000000 RBN,46418400,0.735959,3270.601370 RBN,2346.797260 RBN,5617.398630 RBN
0xE5691DFc88e01c16F46560E1a5e6A5ebF0678BF9,48830.031716 RBN,47023200,0.745548,18202.564905 RBN,12424.901906 RBN,30627.466811 RBN
0x0c4bfB585C72eC0EF88F3fC7fF9C0D05438ef9e7,5093.654391 RBN,33717600,0.534589,1361.505908 RBN,2370.642574 RBN,3732.148483 RBN
0xdABb14eDD4555d0b4bAEf125ee59150C2f50C426,393.451217 RBN,31298400,0.496233,97.621715 RBN,198.207788 RBN,295.829502 RBN
0x298aFe764cEaDE43bA80aC4390195E8D9451D6ef,68318.802805 RBN,54280800,0.750000,25619.551052 RBN,17079.700701 RBN,42699.251753 RBN
0x16c19dcc764767909059B29cCCd0448F4C8819df,17015.536757 RBN,31298400,0.496233,4221.834377 RBN,8571.868003 RBN,12793.702380 RBN
0x84f918BA377cbd0385B4Ef28F6b2b6d7E9B54a4B,10000.000000 RBN,1058400,0.016781,83.904110 RBN,9832.191781 RBN,9916.095890 RBN
0x2e9BDeCe5db845063b4D7a666b6d9a4099093c32,4110.196570 RBN,31298400,0.496233,1019.807334 RBN,2070.581902 RBN,3090.389236 RBN
0x78C5Dc062a541dAE7AeC891575B8e66321EeC848,3727.526796 RBN,31298400,0.496233,924.860672 RBN,1877.805451 RBN,2802.666123 RBN
0x135dC3F68e9547DFED20E2276bF4E00055573f5e,7573.182292 RBN,42184800,0.668836,2532.607023 RBN,2507.968245 RBN,5040.575268 RBN
0x6fFF7165CF311714E47df96588d9419ca4A703d7,6939.358541 RBN,7711200,0.122260,424.203938 RBN,6090.950664 RBN,6515.154602 RBN
0x358b40BEAa062300417400e40eaA30aC8Ce316f3,3125.000000 RBN,31298400,0.496233,775.363870 RBN,1574.272260 RBN,2349.636130 RBN
0xdC212554Bf38c0e8E8b2dFf80DdBa739dFdff5Da,2000000.000000 RBN,25855200,0.409932,409931.506849 RBN,1180136.986301 RBN,1590068.493151 RBN
0x96043dAAf7b6637d21F67BF9B85111BA036cc879,276.263693 RBN,31298400,0.496233,68.545564 RBN,139.172566 RBN,207.718129 RBN
0x6ab791754298D6D6d7C182DC1572126B4eD24897,1912.698442 RBN,31298400,0.496233,474.571925 RBN,963.554592 RBN,1438.126517 RBN
0x273C25abD33EcA095e228fdE0F15E8F7eC4EB4d9,8771.784683 RBN,31298400,0.496233,2176.423974 RBN,4418.936736 RBN,6595.360709 RBN
0xb470cD77568f9Aa051417b8063C83255895B0E99,12247.923780 RBN,47023200,0.745548,4565.707204 RBN,3116.509373 RBN,7682.216576 RBN
0x3e541DE9da4dCC73c7Cfd225D4dA6f232D758393,4421.064628 RBN,31903200,0.505822,1118.135695 RBN,2184.793239 RBN,3302.928934 RBN
0xbC68dee71fd19C6eb4028F98F3C3aB62aAD6FeF3,16615.393292 RBN,31903200,0.505822,4202.215050 RBN,8210.963192 RBN,12413.178242 RBN
0x960A04f4Edb850f0B2ba4970115112Aa75B3863e,21304.892972 RBN,31903200,0.505822,5388.240911 RBN,10528.411150 RBN,15916.652061 RBN
0x9EDa4c07A6857cDc617dfcB986A4cFD373fCC149,1043.355974 RBN,31903200,0.505822,263.876160 RBN,515.603654 RBN,779.479814 RBN
0xbA21F872c1F3e1fAb239bf0826c694282D7E9950,30139.685184 RBN,31298400,0.496233,7478.151341 RBN,15183.382502 RBN,22661.533843 RBN
0xb52ef2B0Ff95c8F7968170E1b2506b59aBE74501,4502.249131 RBN,15573600,0.246918,555.842744 RBN,3390.563643 RBN,3946.406387 RBN
0xd2Be832911A252302bAc09e30Fc124A405E142DF,40000.000014 RBN,39765600,0.630479,12609.589045 RBN,14780.821923 RBN,27390.410968 RBN
0x5b47b64B852354de153ff36C372Ec8EC6550F8D7,21459.005516 RBN,31903200,0.505822,5427.217662 RBN,10604.570192 RBN,16031.787854 RBN
0x53AE93006A3FFB28b39f12382025BdDa6eB0f102,5772.000000 RBN,43999200,0.697603,2013.281507 RBN,1745.436986 RBN,3758.718493 RBN
0xF77fcE2903675397B61d11290D1D795060D71575,5772.000000 RBN,43999200,0.697603,2013.281507 RBN,1745.436986 RBN,3758.718493 RBN
0x0590E9d763bd6A73826b21dC520ae39C35a78728,1737.624803 RBN,47628000,0.750000,651.609301 RBN,434.406201 RBN,1086.015502 RBN
0xfED5b6f65D42af35B87795f5C05da2AC07A8aA4e,158104.720649 RBN,62143200,0.750000,59289.270243 RBN,39526.180162 RBN,98815.450406 RBN
0x0e775598456DEd6f5C3D123FbFc094DB0b08a4F6,504.064190 RBN,31903200,0.505822,127.483358 RBN,249.097475 RBN,376.580832 RBN
0x81D98c8fdA0410ee3e9D7586cB949cD19FA4cf38,1100.000000 RBN,19202400,0.304452,167.448630 RBN,765.102740 RBN,932.551370 RBN
0x1eAb59685f36B9EEBC1d4287C3A402035A5ee7Eb,35288.147626 RBN,39765600,0.630479,11124.225990 RBN,13039.695647 RBN,24163.921636 RBN
0xEE4dB7C0c2648Cd9171d4217A1aE036D0Cae0E75,4733.996043 RBN,31903200,0.505822,1197.279479 RBN,2339.437086 RBN,3536.716564 RBN
0x3c229864378b3B0adF98aE247Ca33986AED8EC1E,49258.405788 RBN,31298400,0.496233,12221.820203 RBN,24814.765382 RBN,37036.585585 RBN
0xfbd451494e7B32efEFe0b3C76F19b2a24563A59f,4930.302599 RBN,31903200,0.505822,1246.927558 RBN,2436.447483 RBN,3683.375041 RBN
0x461FE10ABC6Fcd8BEa56e20D36912B76CFDa8dE3,64386.139348 RBN,53071200,0.750000,24144.802256 RBN,16096.534837 RBN,40241.337093 RBN
0xba1d28A156B69f0e07961E1ADfD1FBA24F249443,11000.000000 RBN,29484000,0.467466,2571.061644 RBN,5857.876712 RBN,8428.938356 RBN
0x974dD3B4e5E00BC3117Fbba15E521B6B5aFC151C,175972.917442 RBN,57304800,0.750000,65989.844041 RBN,43993.229361 RBN,109983.073401 RBN
0x17D60e33385700247741d8A0C2db0D4Ac28130d7,18363.782416 RBN,31903200,0.505822,4644.401820 RBN,9074.978776 RBN,13719.380596 RBN
0xAB12253171A0d73df64B115cD43Fe0A32Feb9dAA,1147.935123 RBN,453600,0.007192,4.127849 RBN,1139.679425 RBN,1143.807274 RBN
0xDBeF9b0a75732966C61B014E8471d5dD7C215E0F,1102.911224 RBN,453600,0.007192,3.965948 RBN,1094.979328 RBN,1098.945276 RBN
0x15977e15d7b24C76f94D2902970e0F0EEDd78618,19375.376152 RBN,31903200,0.505822,4900.244962 RBN,9574.886229 RBN,14475.131191 RBN
0x32ae635F5136AdB181A442Cc890be39263bC13c8,8208.525634 RBN,31903200,0.505822,2076.026089 RBN,4056.473456 RBN,6132.499545 RBN
0x9b616Ac1D31F17Be9B23560d93699cA7732e2808,5000.000000 RBN,43999200,0.697603,1744.006849 RBN,1511.986301 RBN,3255.993151 RBN
0x8a886aA7d37fDE5b7B3F2a4f615D18e46696cAE8,30000.786004 RBN,31903200,0.505822,7587.527556 RBN,14825.730892 RBN,22413.258448 RBN
0x0fF67d2714b0FBbbEc4A87Bfe3b823c9fb3F887c,10350.438307 RBN,31903200,0.505822,2617.739277 RBN,5114.959752 RBN,7732.699029 RBN
0xC1C79C6378e5A72895C8eA15fc6Dd59fFddc8dee,1027.815898 RBN,31903200,0.505822,259.945904 RBN,507.924089 RBN,767.869994 RBN
0xDDb01664dabEf7e491839a7Abc62f06495AD91e7,3741.547638 RBN,453600,0.007192,13.454195 RBN,3714.639248 RBN,3728.093443 RBN
0x7890bF0C1aD4B82642E788cadFf158EC96775f7a,3279.653900 RBN,453600,0.007192,11.793276 RBN,3256.067348 RBN,3267.860624 RBN
0xb3a7FBC2fa38C18ad4433aE93FE7F215Fd2D057f,1398.635088 RBN,54280800,0.750000,524.488158 RBN,349.658772 RBN,874.146930 RBN
0x627D31713ed554f84C5d27658D36Bb4b455daB03,7894.159274 RBN,31903200,0.505822,1996.519392 RBN,3901.120491 RBN,5897.639882 RBN
0x8d452c1f4bAE385B13933c83EcFf70D74229915F,1397.644558 RBN,31903200,0.505822,353.479625 RBN,690.685307 RBN,1044.164933 RBN
0x65877BE34c0c3C3A317d97028FD91bd261410026,19303.174395 RBN,55490400,0.750000,7238.690398 RBN,4825.793599 RBN,12064.483997 RBN
0x1Dd01835E0Eb26ABe597e2e69FfAC1A6cd00283A,46738.158073 RBN,31903200,0.505822,11820.592376 RBN,23096.973322 RBN,34917.565697 RBN
0x34F2a7f1654517fd7B52a7BE7F73F938B60e8e1A,322.178096 RBN,453600,0.007192,1.158517 RBN,319.861061 RBN,321.019578 RBN
0x7D79ab8C86eEf9c6d3001822CCa2384d314db999,570.000000 RBN,453600,0.007192,2.049658 RBN,565.900685 RBN,567.950342 RBN
0x575957E047d5264512aF6aE591817faD51e5e9B2,7884.911624 RBN,44604000,0.707192,2788.072346 RBN,2308.766931 RBN,5096.839277 RBN
0x2Ee8670d2b936985D5fb1EE968810c155D3bB9cA,8126.683056 RBN,31903200,0.505822,2055.327204 RBN,4016.028647 RBN,6071.355852 RBN
0xA4fEa54f4dD3D8aaB135CF93bCA9219f9275066f,482.000000 RBN,453600,0.007192,1.733219 RBN,478.533562 RBN,480.266781 RBN
0xfd58bC678286A43cb678FFE81E85C5467A84B061,38904.867871 RBN,453600,0.007192,139.897641 RBN,38625.072588 RBN,38764.970230 RBN
0x32Ab67c75c722C7c5062589D208FDC12eF246930,870.503671 RBN,453600,0.007192,3.130236 RBN,864.243199 RBN,867.373435 RBN
0xf49d2bcC52F0b46a98204721f98Ce9d4e6730BEd,100000.000000 RBN,33717600,0.534589,26729.452055 RBN,46541.095890 RBN,73270.547945 RBN
0x57D98609D623B9885721a58B896d40C7871E1573,16332.346397 RBN,58514400,0.750000,6124.629899 RBN,4083.086599 RBN,10207.716498 RBN
0x1B95b8a82966615a084397932BCBF514E2BE6f20,5130.033241 RBN,58514400,0.750000,1923.762465 RBN,1282.508310 RBN,3206.270776 RBN
0x81AcBa11a66E9EdEABaA2Ff28101153724892eB7,5486.048318 RBN,59119200,0.750000,2057.268119 RBN,1371.512079 RBN,3428.780199 RBN
0x4164825Bf954E6C6401daB8d01741885f1ca28d8,3233.555644 RBN,453600,0.007192,11.627512 RBN,3210.300620 RBN,3221.928132 RBN
0x309c65c98c56C4Db478Ec67D3d0c91738CbAFC36,4568.927309 RBN,1058400,0.016781,38.335178 RBN,4492.256954 RBN,4530.592131 RBN
0xc47c4c896Afe31e0c37ecDb54df7836313b6504c,514.525756 RBN,453600,0.007192,1.850178 RBN,510.825399 RBN,512.675577 RBN
0x6B98259456fa6ca17dF0fe5a8CfA829c30484EEe,71624.930606 RBN,47628000,0.750000,26859.348977 RBN,17906.232651 RBN,44765.581629 RBN
0x99ED04C212dD3929E9063bd78B26Ef41858CB62C,19470.002565 RBN,8316000,0.131849,1283.553251 RBN,16902.896062 RBN,18186.449314 RBN
0x68Dc0f7ba4eFc952B23e6caCfdf11dE87b54a909,10000.174678 RBN,31903200,0.505822,2529.153767 RBN,4941.867144 RBN,7471.020911 RBN
0xf6a020960A15d942056F7F920064757A47937F1E,10.000000 RBN,2872800,0.045548,0.227740 RBN,9.544521 RBN,9.772260 RBN
0x0CFdFB55841bF953097d8F41b9bfd985A6BFadD9,7819.141360 RBN,54885600,0.750000,2932.178010 RBN,1954.785340 RBN,4886.963350 RBN
